"Nível","Cód.","Unidade da Federação","População Residente - 2019"
"MU","2509602","Monte Horebe (PB)","4816"
"MU","2509701","Monteiro (PB)","33222"
"MU","2509800","Mulungu (PB)","9902"
"MU","2509909","Natuba (PB)","10454"
"MU","2510006","Nazarezinho (PB)","7301"
"MU","2510105","Nova Floresta (PB)","10638"
"MU","2510204","Nova Olinda (PB)","5949"
"MU","2510303","Nova Palmeira (PB)","4906"
"MU","2510402","Olho d'Água (PB)","6526"
"MU","2510501","Olivedos (PB)","3932"
"MU","2510600","Ouro Velho (PB)","3039"
"MU","2510659","Parari (PB)","1771"
"MU","2510709","Passagem (PB)","2419"
"MU","2510808","Patos (PB)","107605"
"MU","2510907","Paulista (PB)","12347"
"MU","2511004","Pedra Branca (PB)","3801"
"MU","2511103","Pedra Lavrada (PB)","7843"
"MU","2511202","Pedras de Fogo (PB)","28458"
"MU","2511301","Piancó (PB)","16075"
"MU","2511400","Picuí (PB)","18703"
"MU","2511509","Pilar (PB)","11917"
"MU","2511608","Pilões (PB)","6635"
"MU","2511707","Pilõezinhos (PB)","4976"
"MU","2511806","Pirpirituba (PB)","10579"
"MU","2511905","Pitimbu (PB)","19065"
"MU","2512002","Pocinhos (PB)","18564"
"MU","2512036","Poço Dantas (PB)","3888"
"MU","2512077","Poço de José de Moura (PB)","4307"
"MU","2512101","Pombal (PB)","32801"
"MU","2512200","Prata (PB)","4209"
"MU","2512309","Princesa Isabel (PB)","23345"
"MU","2512408","Puxinanã (PB)","13680"
"MU","2512507","Queimadas (PB)","43967"
"MU","2512606","Quixaba (PB)","1956"
"MU","2512705","Remígio (PB)","19621"
"MU","2512721","Pedro Régis (PB)","6089"
"MU","2512747","Riachão (PB)","3588"
"MU","2512754","Riachão do Bacamarte (PB)","4521"
"MU","2512762","Riachão do Poço (PB)","4509"
"MU","2512788","Riacho de Santo Antônio (PB)","1948"
"MU","2512804","Riacho dos Cavalos (PB)","8526"
"MU","2512903","Rio Tinto (PB)","24176"
"MU","2513000","Salgadinho (PB)","3885"
"MU","2513109","Salgado de São Félix (PB)","12140"
"MU","2513158","Santa Cecília (PB)","6558"
"MU","2513208","Santa Cruz (PB)","6583"
"MU","2513307","Santa Helena (PB)","5889"
"MU","2513356","Santa Inês (PB)","3595"
"MU","2513406","Santa Luzia (PB)","15382"
"MU","2513505","Santana de Mangueira (PB)","5162"
"MU","2513604","Santana dos Garrotes (PB)","7031"
"MU","2513653","Joca Claudino (PB)","2636"
"MU","2513703","Santa Rita (PB)","136586"
"MU","2513802","Santa Teresinha (PB)","4573"
"MU","2513851","Santo André (PB)","2521"
"MU","2513901","São Bento (PB)","34031"
"MU","2513927","São Bentinho (PB)","4529"
"MU","2513943","São Domingos do Cariri (PB)","2615"
"MU","2513968","São Domingos (PB)","3073"
"MU","2513984","São Francisco (PB)","3392"
"MU","2514008","São João do Cariri (PB)","4199"
"MU","2514107","São João do Tigre (PB)","4422"
"MU","2514206","São José da Lagoa Tapada (PB)","7630"
"MU","2514305","São José de Caiana (PB)","6359"
"MU","2514404","São José de Espinharas (PB)","4682"
"MU","2514453","São José dos Ramos (PB)","5957"
"MU","2514503","São José de Piranhas (PB)","20251"
"MU","2514552","São José de Princesa (PB)","4003"
"MU","2514602","São José do Bonfim (PB)","3557"
"MU","2514651","São José do Brejo do Cruz (PB)","1801"
"MU","2514701","São José do Sabugi (PB)","4141"
"MU","2514800","São José dos Cordeiros (PB)","3628"
"MU","2514909","São Mamede (PB)","7724"
"MU","2515005","São Miguel de Taipu (PB)","7368"
"MU","2515104","São Sebastião de Lagoa de Roça (PB)","11661"
"MU","2515203","São Sebastião do Umbuzeiro (PB)","3489"
"MU","2515302","Sapé (PB)","52625"
"MU","2515401","São Vicente do Seridó (PB)","10775"
"MU","2515500","Serra Branca (PB)","13699"
"MU","2515609","Serra da Raiz (PB)","3148"
"MU","2515708","Serra Grande (PB)","2909"
"MU","2515807","Serra Redonda (PB)","7041"
"MU","2515906","Serraria (PB)","6099"
"MU","2515930","Sertãozinho (PB)","5024"
"MU","2515971","Sobrado (PB)","7783"
"MU","2516003","Solânea (PB)","26407"
"MU","2516102","Soledade (PB)","14989"
"MU","2516151","Sossêgo (PB)","3555"
"MU","2516201","Sousa (PB)","69444"
"MU","2516300","Sumé (PB)","16966"
"MU","2516409","Tacima (PB)","10911"
"MU","2516508","Taperoá (PB)","15376"
"MU","2516607","Tavares (PB)","14726"
"MU","2516706","Teixeira (PB)","15161"
"MU","2516755","Tenório (PB)","3058"
"MU","2516805","Triunfo (PB)","9455"
"MU","2516904","Uiraúna (PB)","15242"
"MU","2517001","Umbuzeiro (PB)","9907"
"MU","2517100","Várzea (PB)","2810"
"MU","2517209","Vieirópolis (PB)","5348"
"MU","2517407","Zabelê (PB)","2240"
"MU","2600054","Abreu e Lima (PE)","99990"
"MU","2600104","Afogados da Ingazeira (PE)","37259"
"MU","2600203","Afrânio (PE)","19635"
"MU","2600302","Agrestina (PE)","24885"
"MU","2600401","Água Preta (PE)","36771"
"MU","2600500","Águas Belas (PE)","43443"
"MU","2600609","Alagoinha (PE)","14636"
"MU","2600708","Aliança (PE)","38386"
"MU","2600807","Altinho (PE)","22972"
"MU","2600906","Amaraji (PE)","22829"
"MU","2601003","Angelim (PE)","11150"
"MU","2601052","Araçoiaba (PE)","20524"
"MU","2601102","Araripina (PE)","84418"
"MU","2601201","Arcoverde (PE)","74338"
"MU","2601300","Barra de Guabiraba (PE)","14385"
"MU","2601409","Barreiros (PE)","42659"
"MU","2601508","Belém de Maria (PE)","12073"
"MU","2601607","Belém do São Francisco (PE)","20729"
"MU","2601706","Belo Jardim (PE)","76439"
"MU","2601805","Betânia (PE)","12719"
"MU","2601904","Bezerros (PE)","60798"
"MU","2602001","Bodocó (PE)","38146"
"MU","2602100","Bom Conselho (PE)","48554"
"MU","2602209","Bom Jardim (PE)","39184"
"MU","2602308","Bonito (PE)","38134"
"MU","2602407","Brejão (PE)","8993"
"MU","2602506","Brejinho (PE)","7487"
"MU","2602605","Brejo da Madre de Deus (PE)","50742"
"MU","2602704","Buenos Aires (PE)","13155"
"MU","2602803","Buíque (PE)","58378"
"MU","2602902","Cabo de Santo Agostinho (PE)","207048"
"MU","2603009","Cabrobó (PE)","34221"
"MU","2603108","Cachoeirinha (PE)","20380"
"MU","2603207","Caetés (PE)","28739"
"MU","2603306","Calçado (PE)","11053"
"MU","2603405","Calumbi (PE)","5750"
"MU","2603454","Camaragibe (PE)","157828"
"MU","2603504","Camocim de São Félix (PE)","18765"
"MU","2603603","Camutanga (PE)","8551"
"MU","2603702","Canhotinho (PE)","24804"
"MU","2603801","Capoeiras (PE)","20048"
"MU","2603900","Carnaíba (PE)","19551"
"MU","2603926","Carnaubeira da Penha (PE)","12932"
"MU","2604007","Carpina (PE)","83641"
"MU","2604106","Caruaru (PE)","361118"
"MU","2604155","Casinhas (PE)","14341"
"MU","2604205","Catende (PE)","42892"
"MU","2604304","Cedro (PE)","11807"
"MU","2604403","Chã de Alegria (PE)","13518"
"MU","2604502","Chã Grande (PE)","21698"
"MU","2604601","Condado (PE)","26421"
"MU","2604700","Correntes (PE)","18207"
"MU","2604809","Cortês (PE)","12578"
"MU","2604908","Cumaru (PE)","10906"
"MU","2605004","Cupira (PE)","24107"
"MU","2605103","Custódia (PE)","37111"
"MU","2605152","Dormentes (PE)","18908"
"MU","2605202","Escada (PE)","68875"
"MU","2605301","Exu (PE)","31825"
"MU","2605400","Feira Nova (PE)","22131"
"MU","2605459","Fernando de Noronha (PE)","3061"
"MU","2605509","Ferreiros (PE)","12123"
"MU","2605608","Flores (PE)","22624"
"MU","2605707","Floresta (PE)","32873"
"MU","2605806","Frei Miguelinho (PE)","15457"
"MU","2605905","Gameleira (PE)","31052"
"MU","2606002","Garanhuns (PE)","139788"
"MU","2606101","Glória do Goitá (PE)","30604"
"MU","2606200","Goiana (PE)","79758"
"MU","2606309","Granito (PE)","7486"
"MU","2606408","Gravatá (PE)","84074"
"MU","2606507","Iati (PE)","19197"
"MU","2606606","Ibimirim (PE)","29235"
"MU","2606705","Ibirajuba (PE)","7762"
"MU","2606804","Igarassu (PE)","117019"
"MU","2606903","Iguaracy (PE)","12228"
"MU","2607000","Inajá (PE)","23247"
"MU","2607109","Ingazeira (PE)","4548"
"MU","2607208","Ipojuca (PE)","96204"
"MU","2607307","Ipubi (PE)","30854"
"MU","2607406","Itacuruba (PE)","4918"
"MU","2607505","Itaíba (PE)","26349"
"MU","2607604","Ilha de Itamaracá (PE)","26258"
"MU","2607653","Itambé (PE)","36447"
"MU","2607703","Itapetim (PE)","13616"
"MU","2607752","Itapissuma (PE)","26651"
"MU","2607802","Itaquitinga (PE)","16955"
"MU","2607901","Jaboatão dos Guararapes (PE)","702298"
"MU","2607950","Jaqueira (PE)","11656"
"MU","2608008","Jataúba (PE)","17150"
"MU","2608057","Jatobá (PE)","14796"
"MU","2608107","João Alfredo (PE)","33822"
"MU","2608206","Joaquim Nabuco (PE)","16023"
"MU","2608255","Jucati (PE)","11424"
"MU","2608305","Jupi (PE)","14836"
"MU","2608404","Jurema (PE)","15378"
"MU","2608453","Lagoa do Carro (PE)","18071"
"MU","2608503","Lagoa de Itaenga (PE)","21429"
"MU","2608602","Lagoa do Ouro (PE)","13145"
"MU","2608701","Lagoa dos Gatos (PE)","16290"
"MU","2608750","Lagoa Grande (PE)","25601"
"MU","2608800","Lajedo (PE)","40288"
"MU","2608909","Limoeiro (PE)","56250"
"MU","2609006","Macaparana (PE)","25376"
"MU","2609105","Machados (PE)","16088"
"MU","2609154","Manari (PE)","21434"
"MU","2609204","Maraial (PE)","11345"
"MU","2609303","Mirandiba (PE)","15390"
"MU","2609402","Moreno (PE)","62784"
"MU","2609501","Nazaré da Mata (PE)","32471"
"MU","2609600","Olinda (PE)","392482"
"MU","2609709","Orobó (PE)","23884"
"MU","2609808","Orocó (PE)","14991"
"MU","2609907","Ouricuri (PE)","69459"
"MU","2610004","Palmares (PE)","63250"
"MU","2610103","Palmeirina (PE)","7693"
"MU","2610202","Panelas (PE)","26474"
"MU","2610301","Paranatama (PE)","11523"
"MU","2610400","Parnamirim (PE)","22010"
"MU","2610509","Passira (PE)","28933"
"MU","2610608","Paudalho (PE)","56506"
"MU","2610707","Paulista (PE)","331774"
"MU","2610806","Pedra (PE)","22617"
"MU","2610905","Pesqueira (PE)","67395"
"MU","2611002","Petrolândia (PE)","36548"
"MU","2611101","Petrolina (PE)","349145"
"MU","2611200","Poção (PE)","11302"
"MU","2611309","Pombos (PE)","27091"
"MU","2611408","Primavera (PE)","14966"
"MU","2611507","Quipapá (PE)","26037"
"MU","2611533","Quixaba (PE)","6813"
"MU","2611606","Recife (PE)","1645727"
"MU","2611705","Riacho das Almas (PE)","20546"
"MU","2611804","Ribeirão (PE)","47415"
"MU","2611903","Rio Formoso (PE)","23535"
"MU","2612000","Sairé (PE)","9932"
"MU","2612109","Salgadinho (PE)","10919"
"MU","2612208","Salgueiro (PE)","60930"
"MU","2612307","Saloá (PE)","15843"
"MU","2612406","Sanharó (PE)","26462"
"MU","2612455","Santa Cruz (PE)","15398"
"MU","2612471","Santa Cruz da Baixa Verde (PE)","12592"
"MU","2612505","Santa Cruz do Capibaribe (PE)","107937"
"MU","2612554","Santa Filomena (PE)","14477"
"MU","2612604","Santa Maria da Boa Vista (PE)","41931"
"MU","2612703","Santa Maria do Cambucá (PE)","14137"
"MU","2612802","Santa Terezinha (PE)","11815"
"MU","2612901","São Benedito do Sul (PE)","15895"
"MU","2613008","São Bento do Una (PE)","59504"
"MU","2613107","São Caitano (PE)","37245"
"MU","2613206","São João (PE)","22793"
"MU","2613305","São Joaquim do Monte (PE)","21356"
"MU","2613404","São José da Coroa Grande (PE)","21298"
"MU","2613503","São José do Belmonte (PE)","33959"
"MU","2613602","São José do Egito (PE)","33951"
"MU","2613701","São Lourenço da Mata (PE)","113230"
"MU","2613800","São Vicente Férrer (PE)","18018"
"MU","2613909","Serra Talhada (PE)","86350"
"MU","2614006","Serrita (PE)","19165"
"MU","2614105","Sertânia (PE)","35907"
"MU","2614204","Sirinhaém (PE)","45865"
"MU","2614303","Moreilândia (PE)","11270"
"MU","2614402","Solidão (PE)","6007"
"MU","2614501","Surubim (PE)","65089"
"MU","2614600","Tabira (PE)","28534"
"MU","2614709","Tacaimbó (PE)","12874"
"MU","2614808","Tacaratu (PE)","25765"
"MU","2614857","Tamandaré (PE)","23388"
"MU","2615003","Taquaritinga do Norte (PE)","28775"
"MU","2615102","Terezinha (PE)","7169"
"MU","2615201","Terra Nova (PE)","10096"
"MU","2615300","Timbaúba (PE)","53022"
"MU","2615409","Toritama (PE)","45219"
"MU","2615508","Tracunhaém (PE)","13769"
"MU","2615607","Trindade (PE)","30521"
"MU","2615706","Triunfo (PE)","15254"
"MU","2615805","Tupanatinga (PE)","27304"
"MU","2615904","Tuparetama (PE)","8202"
"MU","2616001","Venturosa (PE)","18482"
"MU","2616100","Verdejante (PE)","9534"
"MU","2616183","Vertente do Lério (PE)","7618"
"MU","2616209","Vertentes (PE)","20731"
"MU","2616308","Vicência (PE)","32643"
"MU","2616407","Vitória de Santo Antão (PE)","138757"
"MU","2616506","Xexéu (PE)","14725"
"MU","2700102","Água Branca (AL)","20196"
"MU","2700201","Anadia (AL)","17545"
"MU","2700300","Arapiraca (AL)","231747"
"MU","2700409","Atalaia (AL)","47185"
"MU","2700508","Barra de Santo Antônio (AL)","15932"
"MU","2700607","Barra de São Miguel (AL)","8322"
"MU","2700706","Batalha (AL)","18232"
"MU","2700805","Belém (AL)","4344"
"MU","2700904","Belo Monte (AL)","6704"
"MU","2701001","Boca da Mata (AL)","27281"
"MU","2701100","Branquinha (AL)","10494"
"MU","2701209","Cacimbinhas (AL)","10858"
"MU","2701308","Cajueiro (AL)","21264"
"MU","2701357","Campestre (AL)","6936"
"MU","2701407","Campo Alegre (AL)","57063"
"MU","2701506","Campo Grande (AL)","9558"
"MU","2701605","Canapi (AL)","17722"
"MU","2701704","Capela (AL)","17053"
"MU","2701803","Carneiros (AL)","9081"
"MU","2701902","Chã Preta (AL)","7311"
"MU","2702009","Coité do Nóia (AL)","10693"
"MU","2702108","Colônia Leopoldina (AL)","21698"
"MU","2702207","Coqueiro Seco (AL)","5845"
"MU","2702306","Coruripe (AL)","56933"
"MU","2702355","Craíbas (AL)","24219"
"MU","2702405","Delmiro Gouveia (AL)","52016"
"MU","2702504","Dois Riachos (AL)","11075"
"MU","2702553","Estrela de Alagoas (AL)","18205"
"MU","2702603","Feira Grande (AL)","22166"
"MU","2702702","Feliz Deserto (AL)","4754"
"MU","2702801","Flexeiras (AL)","12790"
"MU","2702900","Girau do Ponciano (AL)","40917"
"MU","2703007","Ibateguara (AL)","15616"
"MU","2703106","Igaci (AL)","25631"
"MU","2703205","Igreja Nova (AL)","24499"
"MU","2703304","Inhapi (AL)","18385"
"MU","2703403","Jacaré dos Homens (AL)","5253"
"MU","2703502","Jacuípe (AL)","7021"
"MU","2703601","Japaratinga (AL)","8361"
"MU","2703700","Jaramataia (AL)","5770"
"MU","2703759","Jequiá da Praia (AL)","11580"
"MU","2703809","Joaquim Gomes (AL)","23993"
"MU","2703908","Jundiá (AL)","4155"
"MU","2704005","Junqueiro (AL)","24727"
"MU","2704104","Lagoa da Canoa (AL)","17852"
"MU","2704203","Limoeiro de Anadia (AL)","28635"
"MU","2704302","Maceió (AL)","1018948"
"MU","2704401","Major Isidoro (AL)","19804"
"MU","2704500","Maragogi (AL)","32704"
"MU","2704609","Maravilha (AL)","9163"
"MU","2704708","Marechal Deodoro (AL)","51901"
"MU","2704807","Maribondo (AL)","13264"
"MU","2704906","Mar Vermelho (AL)","3514"
"MU","2705002","Mata Grande (AL)","25216"
"MU","2705101","Matriz de Camaragibe (AL)","24642"
"MU","2705200","Messias (AL)","17856"
"MU","2705309","Minador do Negrão (AL)","5329"
"MU","2705408","Monteirópolis (AL)","7159"
"MU","2705507","Murici (AL)","28236"
"MU","2705606","Novo Lino (AL)","12690"
"MU","2705705","Olho d'Água das Flores (AL)","21688"
"MU","2705804","Olho d'Água do Casado (AL)","9373"
"MU","2705903","Olho d'Água Grande (AL)","5123"
"MU","2706000","Olivença (AL)","11624"
"MU","2706109","Ouro Branco (AL)","11496"
"MU","2706208","Palestina (AL)","5011"
"MU","2706307","Palmeira dos Índios (AL)","73218"
"MU","2706406","Pão de Açúcar (AL)","24399"
"MU","2706422","Pariconha (AL)","10533"
"MU","2706448","Paripueira (AL)","13176"
"MU","2706505","Passo de Camaragibe (AL)","15245"
"MU","2706604","Paulo Jacinto (AL)","7564"
"MU","2706703","Penedo (AL)","63683"
"MU","2706802","Piaçabuçu (AL)","17827"
"MU","2706901","Pilar (AL)","35111"
"MU","2707008","Pindoba (AL)","2908"
"MU","2707107","Piranhas (AL)","25039"
"MU","2707206","Poço das Trincheiras (AL)","14386"
"MU","2707305","Porto Calvo (AL)","27165"
"MU","2707404","Porto de Pedras (AL)","7786"
"MU","2707503","Porto Real do Colégio (AL)","20066"
"MU","2707602","Quebrangulo (AL)","11294"
"MU","2707701","Rio Largo (AL)","75120"
"MU","2707800","Roteiro (AL)","6664"
"MU","2707909","Santa Luzia do Norte (AL)","7296"
"MU","2708006","Santana do Ipanema (AL)","47654"
"MU","2708105","Santana do Mundaú (AL)","10740"
"MU","2708204","São Brás (AL)","6961"
"MU","2708303","São José da Laje (AL)","23927"
"MU","2708402","São José da Tapera (AL)","32260"
"MU","2708501","São Luís do Quitunde (AL)","34555"
"MU","2708600","São Miguel dos Campos (AL)","61251"
"MU","2708709","São Miguel dos Milagres (AL)","7951"
"MU","2708808","São Sebastião (AL)","34152"
"MU","2708907","Satuba (AL)","13828"
"MU","2708956","Senador Rui Palmeira (AL)","13870"
"MU","2709004","Tanque d'Arca (AL)","6162"
"MU","2709103","Taquarana (AL)","19980"
"MU","2709152","Teotônio Vilela (AL)","44169"
"MU","2709202","Traipu (AL)","27715"
"MU","2709301","União dos Palmares (AL)","65611"
"MU","2709400","Viçosa (AL)","25733"
"MU","2800100","Amparo de São Francisco (SE)","2374"
"MU","2800209","Aquidabã (SE)","21563"
"MU","2800308","Aracaju (SE)","657013"
"MU","2800407","Arauá (SE)","10056"
"MU","2800506","Areia Branca (SE)","18542"
"MU","2800605","Barra dos Coqueiros (SE)","30407"
"MU","2800670","Boquim (SE)","26816"
"MU","2800704","Brejo Grande (SE)","8309"
"MU","2801009","Campo do Brito (SE)","18109"
"MU","2801108","Canhoba (SE)","4008"
"MU","2801207","Canindé de São Francisco (SE)","29900"
"MU","2801306","Capela (SE)","34213"
"MU","2801405","Carira (SE)","22082"
"MU","2801504","Carmópolis (SE)","16634"
"MU","2801603","Cedro de São João (SE)","5897"
"MU","2801702","Cristinápolis (SE)","17874"
"MU","2801900","Cumbe (SE)","3987"
"MU","2802007","Divina Pastora (SE)","5138"
"MU","2802106","Estância (SE)","69184"
"MU","2802205","Feira Nova (SE)","5584"
"MU","2802304","Frei Paulo (SE)","15421"
"MU","2802403","Gararu (SE)","11604"
"MU","2802502","General Maynard (SE)","3346"
"MU","2802601","Gracho Cardoso (SE)","5818"
"MU","2802700","Ilha das Flores (SE)","8520"
"MU","2802809","Indiaroba (SE)","17957"
"MU","2802908","Itabaiana (SE)","95427"
"MU","2803005","Itabaianinha (SE)","41928"
"MU","2803104","Itabi (SE)","4903"
"MU","2803203","Itaporanga d'Ajuda (SE)","34356"
"MU","2803302","Japaratuba (SE)","18743"
"MU","2803401","Japoatã (SE)","13434"
"MU","2803500","Lagarto (SE)","104408"
"MU","2803609","Laranjeiras (SE)","29826"
"MU","2803708","Macambira (SE)","6919"
"MU","2803807","Malhada dos Bois (SE)","3682"
"MU","2803906","Malhador (SE)","12618"
"MU","2804003","Maruim (SE)","17213"
"MU","2804102","Moita Bonita (SE)","11335"
"MU","2804201","Monte Alegre de Sergipe (SE)","15031"
"MU","2804300","Muribeca (SE)","7625"
"MU","2804409","Neópolis (SE)","18719"
"MU","2804458","Nossa Senhora Aparecida (SE)","8796"
"MU","2804508","Nossa Senhora da Glória (SE)","36924"
"MU","2804607","Nossa Senhora das Dores (SE)","26629"
"MU","2804706","Nossa Senhora de Lourdes (SE)","6483"
"MU","2804805","Nossa Senhora do Socorro (SE)","183628"
"MU","2804904","Pacatuba (SE)","14428"
"MU","2805000","Pedra Mole (SE)","3261"
"MU","2805109","Pedrinhas (SE)","9602"
"MU","2805208","Pinhão (SE)","6576"
"MU","2805307","Pirambu (SE)","9280"
"MU","2805406","Poço Redondo (SE)","34775"
"MU","2805505","Poço Verde (SE)","23728"
"MU","2805604","Porto da Folha (SE)","28596"
"MU","2805703","Propriá (SE)","29626"
"MU","2805802","Riachão do Dantas (SE)","19805"
"MU","2805901","Riachuelo (SE)","10213"
"MU","2806008","Ribeirópolis (SE)","18652"
"MU","2806107","Rosário do Catete (SE)","10855"
"MU","2806206","Salgado (SE)","19998"
"MU","2806305","Santa Luzia do Itanhy (SE)","14035"
"MU","2806404","Santana do São Francisco (SE)","7780"
"MU","2806503","Santa Rosa de Lima (SE)","3913"
"MU","2806602","Santo Amaro das Brotas (SE)","12102"
"MU","2806701","São Cristóvão (SE)","90072"
"MU","2806800","São Domingos (SE)","11137"
"MU","2806909","São Francisco (SE)","3724"
"MU","2807006","São Miguel do Aleixo (SE)","3930"
"MU","2807105","Simão Dias (SE)","40484"
"MU","2807204","Siriri (SE)","8893"
"MU","2807303","Telha (SE)","3227"
"MU","2807402","Tobias Barreto (SE)","52191"
"MU","2807501","Tomar do Geru (SE)","13536"
"MU","2807600","Umbaúba (SE)","25294"
"MU","2900108","Abaíra (BA)","8739"
"MU","2900207","Abaré (BA)","20086"
"MU","2900306","Acajutiba (BA)","15159"
"MU","2900355","Adustina (BA)","17040"
"MU","2900405","Água Fria (BA)","16970"
"MU","2900504","Érico Cardoso (BA)","10610"
"MU","2900603","Aiquara (BA)","4446"
"MU","2900702","Alagoinhas (BA)","151596"
"MU","2900801","Alcobaça (BA)","22470"
"MU","2900900","Almadina (BA)","5464"
"MU","2901007","Amargosa (BA)","37241"
"MU","2901106","Amélia Rodrigues (BA)","25102"
"MU","2901155","América Dourada (BA)","16094"
"MU","2901205","Anagé (BA)","22005"
"MU","2901304","Andaraí (BA)","13143"
"MU","2901353","Andorinha (BA)","14595"
"MU","2901403","Angical (BA)","13977"
"MU","2901502","Anguera (BA)","11221"
"MU","2901601","Antas (BA)","19291"
"MU","2901700","Antônio Cardoso (BA)","11683"
"MU","2901809","Antônio Gonçalves (BA)","11798"
"MU","2901908","Aporá (BA)","17731"
"MU","2901957","Apuarema (BA)","7330"
"MU","2902005","Aracatu (BA)","13135"
"MU","2902054","Araçás (BA)","12177"
"MU","2902104","Araci (BA)","54379"
"MU","2902203","Aramari (BA)","11397"
"MU","2902252","Arataca (BA)","11019"
"MU","2902302","Aratuípe (BA)","8825"
"MU","2902401","Aurelino Leal (BA)","11531"
"MU","2902500","Baianópolis (BA)","13877"
"MU","2902609","Baixa Grande (BA)","20468"
"MU","2902658","Banzaê (BA)","13229"
"MU","2902708","Barra (BA)","53578"
"MU","2902807","Barra da Estiva (BA)","20598"
"MU","2902906","Barra do Choça (BA)","31603"
"MU","2903003","Barra do Mendes (BA)","13865"
"MU","2903102","Barra do Rocha (BA)","5714"
"MU","2903201","Barreiras (BA)","155439"
"MU","2903235","Barro Alto (BA)","14931"
"MU","2903276","Barrocas (BA)","15978"
"MU","2903300","Barro Preto (BA)","5591"
"MU","2903409","Belmonte (BA)","23328"
"MU","2903508","Belo Campo (BA)","17211"
"MU","2903607","Biritinga (BA)","15979"
"MU","2903706","Boa Nova (BA)","12633"
"MU","2903805","Boa Vista do Tupim (BA)","18576"
"MU","2903904","Bom Jesus da Lapa (BA)","69148"
"MU","2903953","Bom Jesus da Serra (BA)","9880"
"MU","2904001","Boninal (BA)","14368"
"MU","2904050","Bonito (BA)","16764"
"MU","2904100","Boquira (BA)","21508"
"MU","2904209","Botuporã (BA)","10211"
"MU","2904308","Brejões (BA)","14295"
"MU","2904407","Brejolândia (BA)","10557"
"MU","2904506","Brotas de Macaúbas (BA)","10231"
"MU","2904605","Brumado (BA)","67195"
"MU","2904704","Buerarema (BA)","18349"
"MU","2904753","Buritirama (BA)","21174"
"MU","2904803","Caatiba (BA)","6758"
"MU","2904852","Cabaceiras do Paraguaçu (BA)","18807"
"MU","2904902","Cachoeira (BA)","33470"
"MU","2905008","Caculé (BA)","23170"
"MU","2905107","Caém (BA)","9213"
"MU","2905156","Caetanos (BA)","14542"
"MU","2905206","Caetité (BA)","50975"
"MU","2905305","Cafarnaum (BA)","18437"
"MU","2905404","Cairu (BA)","18176"
"MU","2905503","Caldeirão Grande (BA)","13327"
"MU","2905602","Camacan (BA)","31988"
"MU","2905701","Camaçari (BA)","299132"
"MU","2905800","Camamu (BA)","35316"
"MU","2905909","Campo Alegre de Lourdes (BA)","28798"
"MU","2906006","Campo Formoso (BA)","71206"
"MU","2906105","Canápolis (BA)","9711"
"MU","2906204","Canarana (BA)","26176"
"MU","2906303","Canavieiras (BA)","31099"
"MU","2906402","Candeal (BA)","8258"
"MU","2906501","Candeias (BA)","87076"
"MU","2906600","Candiba (BA)","14319"
"MU","2906709","Cândido Sales (BA)","25189"
"MU","2906808","Cansanção (BA)","34834"
"MU","2906824","Canudos (BA)","16668"
"MU","2906857","Capela do Alto Alegre (BA)","11637"
"MU","2906873","Capim Grosso (BA)","30662"
"MU","2906899","Caraíbas (BA)","8951"
"MU","2906907","Caravelas (BA)","22016"
"MU","2907004","Cardeal da Silva (BA)","9295"
"MU","2907103","Carinhanha (BA)","29018"
"MU","2907202","Casa Nova (BA)","71969"
"MU","2907301","Castro Alves (BA)","26264"
"MU","2907400","Catolândia (BA)","3577"
"MU","2907509","Catu (BA)","54704"
"MU","2907558","Caturama (BA)","9329"
"MU","2907608","Central (BA)","17266"
"MU","2907707","Chorrochó (BA)","11177"
"MU","2907806","Cícero Dantas (BA)","32515"
"MU","2907905","Cipó (BA)","17300"
"MU","2908002","Coaraci (BA)","16993"
"MU","2908101","Cocos (BA)","18777"
"MU","2908200","Conceição da Feira (BA)","22581"
"MU","2908309","Conceição do Almeida (BA)","17247"
"MU","2908408","Conceição do Coité (BA)","66612"
"MU","2908507","Conceição do Jacuípe (BA)","33153"
"MU","2908606","Conde (BA)","25837"
"MU","2908705","Condeúba (BA)","17247"
"MU","2908804","Contendas do Sincorá (BA)","4066"
"MU","2908903","Coração de Maria (BA)","22605"
"MU","2909000","Cordeiros (BA)","8614"
"MU","2909109","Coribe (BA)","14194"
"MU","2909208","Coronel João Sá (BA)","15895"
"MU","2909307","Correntina (BA)","32137"
"MU","2909406","Cotegipe (BA)","13782"
"MU","2909505","Cravolândia (BA)","5349"
"MU","2909604","Crisópolis (BA)","21103"
"MU","2909703","Cristópolis (BA)","13910"
"MU","2909802","Cruz das Almas (BA)","63239"
"MU","2909901","Curaçá (BA)","34700"
"MU","2910008","Dário Meira (BA)","10710"
"MU","2910057","Dias d'Ávila (BA)","81089"
"MU","2910107","Dom Basílio (BA)","12199"
"MU","2910206","Dom Macedo Costa (BA)","4058"
"MU","2910305","Elísio Medrado (BA)","8122"
"MU","2910404","Encruzilhada (BA)","17006"
"MU","2910503","Entre Rios (BA)","41780"
"MU","2910602","Esplanada (BA)","37237"
"MU","2910701","Euclides da Cunha (BA)","60585"
"MU","2910727","Eunápolis (BA)","113380"
"MU","2910750","Fátima (BA)","17890"
"MU","2910776","Feira da Mata (BA)","5665"
"MU","2910800","Feira de Santana (BA)","614872"
"MU","2910859","Filadélfia (BA)","16377"
"MU","2910909","Firmino Alves (BA)","5617"
