"Nível","Cód.","Unidade da Federação","População Residente - 2019"
"MU","1302702","Manicoré (AM)","55751"
"MU","1302801","Maraã (AM)","18224"
"MU","1302900","Maués (AM)","63905"
"MU","1303007","Nhamundá (AM)","21173"
"MU","1303106","Nova Olinda do Norte (AM)","37378"
"MU","1303205","Novo Airão (AM)","19454"
"MU","1303304","Novo Aripuanã (AM)","25644"
"MU","1303403","Parintins (AM)","114273"
"MU","1303502","Pauini (AM)","19426"
"MU","1303536","Presidente Figueiredo (AM)","36279"
"MU","1303569","Rio Preto da Eva (AM)","33347"
"MU","1303601","Santa Isabel do Rio Negro (AM)","25156"
"MU","1303700","Santo Antônio do Içá (AM)","21602"
"MU","1303809","São Gabriel da Cachoeira (AM)","45564"
"MU","1303908","São Paulo de Olivença (AM)","39299"
"MU","1303957","São Sebastião do Uatumã (AM)","14020"
"MU","1304005","Silves (AM)","9171"
"MU","1304062","Tabatinga (AM)","65844"
"MU","1304104","Tapauá (AM)","17156"
"MU","1304203","Tefé (AM)","59849"
"MU","1304237","Tonantins (AM)","18755"
"MU","1304260","Uarini (AM)","13540"
"MU","1304302","Urucará (AM)","16256"
"MU","1304401","Urucurituba (AM)","23065"
"MU","1400027","Amajari (RR)","12796"
"MU","1400050","Alto Alegre (RR)","15510"
"MU","1400100","Boa Vista (RR)","399213"
"MU","1400159","Bonfim (RR)","12409"
"MU","1400175","Cantá (RR)","18335"
"MU","1400209","Caracaraí (RR)","21926"
"MU","1400233","Caroebe (RR)","10169"
"MU","1400282","Iracema (RR)","11950"
"MU","1400308","Mucajaí (RR)","17853"
"MU","1400407","Normandia (RR)","11290"
"MU","1400456","Pacaraima (RR)","17401"
"MU","1400472","Rorainópolis (RR)","30163"
"MU","1400506","São João da Baliza (RR)","8201"
"MU","1400605","São Luiz (RR)","7986"
"MU","1400704","Uiramutã (RR)","10559"
"MU","1500107","Abaetetuba (PA)","157698"
"MU","1500131","Abel Figueiredo (PA)","7434"
"MU","1500206","Acará (PA)","55591"
"MU","1500305","Afuá (PA)","39218"
"MU","1500347","Água Azul do Norte (PA)","27430"
"MU","1500404","Alenquer (PA)","56789"
"MU","1500503","Almeirim (PA)","34109"
"MU","1500602","Altamira (PA)","114594"
"MU","1500701","Anajás (PA)","29277"
"MU","1500800","Ananindeua (PA)","530598"
"MU","1500859","Anapu (PA)","27890"
"MU","1500909","Augusto Corrêa (PA)","45998"
"MU","1500958","Aurora do Pará (PA)","31338"
"MU","1501006","Aveiro (PA)","16388"
"MU","1501105","Bagre (PA)","30673"
"MU","1501204","Baião (PA)","47446"
"MU","1501253","Bannach (PA)","3286"
"MU","1501303","Barcarena (PA)","124680"
"MU","1501402","Belém (PA)","1492745"
"MU","1501451","Belterra (PA)","17732"
"MU","1501501","Benevides (PA)","62737"
"MU","1501576","Bom Jesus do Tocantins (PA)","16981"
"MU","1501600","Bonito (PA)","16286"
"MU","1501709","Bragança (PA)","127686"
"MU","1501725","Brasil Novo (PA)","15086"
"MU","1501758","Brejo Grande do Araguaia (PA)","7380"
"MU","1501782","Breu Branco (PA)","66046"
"MU","1501808","Breves (PA)","102701"
"MU","1501907","Bujaru (PA)","29132"
"MU","1501956","Cachoeira do Piriá (PA)","33900"
"MU","1502004","Cachoeira do Arari (PA)","23767"
"MU","1502103","Cametá (PA)","137890"
"MU","1502152","Canaã dos Carajás (PA)","37085"
"MU","1502202","Capanema (PA)","69027"
"MU","1502301","Capitão Poço (PA)","54303"
"MU","1502400","Castanhal (PA)","200793"
"MU","1502509","Chaves (PA)","23717"
"MU","1502608","Colares (PA)","12085"
"MU","1502707","Conceição do Araguaia (PA)","47864"
"MU","1502756","Concórdia do Pará (PA)","33318"
"MU","1502764","Cumaru do Norte (PA)","13473"
"MU","1502772","Curionópolis (PA)","17929"
"MU","1502806","Curralinho (PA)","34448"
"MU","1502855","Curuá (PA)","14393"
"MU","1502905","Curuçá (PA)","40066"
"MU","1502939","Dom Eliseu (PA)","59719"
"MU","1502954","Eldorado do Carajás (PA)","33808"
"MU","1503002","Faro (PA)","7194"
"MU","1503044","Floresta do Araguaia (PA)","20304"
"MU","1503077","Garrafão do Norte (PA)","26066"
"MU","1503093","Goianésia do Pará (PA)","40475"
"MU","1503101","Gurupá (PA)","33376"
"MU","1503200","Igarapé-Açu (PA)","38807"
"MU","1503309","Igarapé-Miri (PA)","62698"
"MU","1503408","Inhangapi (PA)","11711"
"MU","1503457","Ipixuna do Pará (PA)","64053"
"MU","1503507","Irituia (PA)","32550"
"MU","1503606","Itaituba (PA)","101247"
"MU","1503705","Itupiranga (PA)","53269"
"MU","1503754","Jacareacanga (PA)","8239"
"MU","1503804","Jacundá (PA)","59155"
"MU","1503903","Juruti (PA)","57943"
"MU","1504000","Limoeiro do Ajuru (PA)","28935"
"MU","1504059","Mãe do Rio (PA)","30077"
"MU","1504109","Magalhães Barata (PA)","8548"
"MU","1504208","Marabá (PA)","279349"
"MU","1504307","Maracanã (PA)","29473"
"MU","1504406","Marapanim (PA)","28336"
"MU","1504422","Marituba (PA)","131521"
"MU","1504455","Medicilândia (PA)","31597"
"MU","1504505","Melgaço (PA)","27654"
"MU","1504604","Mocajuba (PA)","31136"
"MU","1504703","Moju (PA)","82094"
"MU","1504752","Mojuí dos Campos (PA)","16084"
"MU","1504802","Monte Alegre (PA)","58032"
"MU","1504901","Muaná (PA)","40349"
"MU","1504950","Nova Esperança do Piriá (PA)","21368"
"MU","1504976","Nova Ipixuna (PA)","16678"
"MU","1505007","Nova Timboteua (PA)","15363"
"MU","1505031","Novo Progresso (PA)","25762"
"MU","1505064","Novo Repartimento (PA)","75919"
"MU","1505106","Óbidos (PA)","52137"
"MU","1505205","Oeiras do Pará (PA)","32512"
"MU","1505304","Oriximiná (PA)","73096"
"MU","1505403","Ourém (PA)","17842"
"MU","1505437","Ourilândia do Norte (PA)","32832"
"MU","1505486","Pacajá (PA)","47706"
"MU","1505494","Palestina do Pará (PA)","7589"
"MU","1505502","Paragominas (PA)","113145"
"MU","1505536","Parauapebas (PA)","208273"
"MU","1505551","Pau D'Arco (PA)","5483"
"MU","1505601","Peixe-Boi (PA)","8077"
"MU","1505635","Piçarra (PA)","12981"
"MU","1505650","Placas (PA)","30982"
"MU","1505700","Ponta de Pedras (PA)","31082"
"MU","1505809","Portel (PA)","62043"
"MU","1505908","Porto de Moz (PA)","41135"
"MU","1506005","Prainha (PA)","29866"
"MU","1506104","Primavera (PA)","10825"
"MU","1506112","Quatipuru (PA)","13608"
"MU","1506138","Redenção (PA)","84787"
